Year,Day,Hour,Minute,Bx GSE-GSM(nT)
2021,1,0,0,-0.79
2021,1,0,5,0.37
2021,1,0,10,0.33
2021,1,0,15,0.69
2021,1,0,20,0.84
2021,1,0,25,1.24
2021,1,0,30,0.85
2021,1,0,35,0.81
2021,1,0,40,0.81
2021,1,0,45,0.97
2021,1,0,50,0.21
2021,1,0,55,-0.01
2021,1,1,0,0.68
2021,1,1,5,0.71
2021,1,1,10,0.96
2021,1,1,15,1.16
2021,1,1,20,1.15
2021,1,1,25,0.71
2021,1,1,30,9999.99
2021,1,1,35,-1.04
2021,1,1,40,-1.18
2021,1,1,45,-1.04
2021,1,1,50,-0.15
2021,1,1,55,-0.27
2021,1,2,0,-0.20
2021,1,2,5,0.52
2021,1,2,10,0.77
2021,1,2,15,-0.22
2021,1,2,20,-0.45
2021,1,2,25,0.25
2021,1,2,30,1.51
2021,1,2,35,-0.02
2021,1,2,40,0.56
2021,1,2,45,0.75
2021,1,2,50,1.00
2021,1,2,55,0.84
2021,1,3,0,1.26
2021,1,3,5,1.02
2021,1,3,10,0.69
2021,1,3,15,0.79
2021,1,3,20,0.59
2021,1,3,25,0.35
2021,1,3,30,0.46
2021,1,3,35,1.12
2021,1,3,40,1.45
2021,1,3,45,1.63
2021,1,3,50,1.38
2021,1,3,55,1.52
2021,1,4,0,1.88
2021,1,4,5,1.38
2021,1,4,10,0.92
2021,1,4,15,0.59
2021,1,4,20,0.68
2021,1,4,25,0.78
2021,1,4,30,1.32
2021,1,4,35,1.74
2021,1,4,40,1.55
2021,1,4,45,1.04
2021,1,4,50,0.90
2021,1,4,55,1.29
2021,1,5,0,1.26
2021,1,5,5,1.23
2021,1,5,10,1.35
2021,1,5,15,1.20
2021,1,5,20,1.23
2021,1,5,25,1.11
2021,1,5,30,1.26
2021,1,5,35,1.63
2021,1,5,40,1.72
2021,1,5,45,1.76
2021,1,5,50,1.52
2021,1,5,55,1.89
2021,1,6,0,1.88
2021,1,6,5,1.92
2021,1,6,10,1.71
2021,1,6,15,1.65
2021,1,6,20,1.20
2021,1,6,25,1.45
2021,1,6,30,0.94
2021,1,6,35,1.01
2021,1,6,40,0.29
2021,1,6,45,-0.08
2021,1,6,50,-0.15
2021,1,6,55,0.18
2021,1,7,0,-0.13
2021,1,7,5,-0.13
2021,1,7,10,-0.81
2021,1,7,15,-1.18
2021,1,7,20,-0.91
2021,1,7,25,-0.91
2021,1,7,30,-0.38
2021,1,7,35,-0.66
2021,1,7,40,-0.39
2021,1,7,45,-0.10
2021,1,7,50,-0.05
2021,1,7,55,-0.10
2021,1,8,0,0.16
2021,1,8,5,0.21
2021,1,8,10,0.47
2021,1,8,15,0.04
2021,1,8,20,-0.23
2021,1,8,25,-0.21
2021,1,8,30,-1.16
2021,1,8,35,-1.54
2021,1,8,40,-1.78
2021,1,8,45,-0.21
2021,1,8,50,0.01
2021,1,8,55,-0.66
2021,1,9,0,-0.06
2021,1,9,5,-0.06
2021,1,9,10,-0.29
2021,1,9,15,-0.77
2021,1,9,20,-0.99
2021,1,9,25,-1.79
2021,1,9,30,-1.61
2021,1,9,35,-1.04
2021,1,9,40,-0.74
2021,1,9,45,-1.02
2021,1,9,50,-1.42
2021,1,9,55,-1.80
2021,1,10,0,-1.79
2021,1,10,5,-1.69
2021,1,10,10,-1.73
2021,1,10,15,-1.70
2021,1,10,20,-1.21
2021,1,10,25,-0.77
2021,1,10,30,-0.93
2021,1,10,35,-0.74
2021,1,10,40,-0.83
2021,1,10,45,-0.48
2021,1,10,50,0.26
2021,1,10,55,-0.21
2021,1,11,0,-0.40
2021,1,11,5,-0.40
2021,1,11,10,-0.78
2021,1,11,15,-0.81
2021,1,11,20,-0.65
2021,1,11,25,-0.38
2021,1,11,30,-0.50
2021,1,11,35,-0.20
2021,1,11,40,-0.79
2021,1,11,45,-0.47
2021,1,11,50,0.07
2021,1,11,55,-1.20
2021,1,12,0,-1.78
2021,1,12,5,-1.53
2021,1,12,10,-0.69
2021,1,12,15,-0.59
2021,1,12,20,0.20
2021,1,12,25,0.21
2021,1,12,30,0.44
2021,1,12,35,0.95
2021,1,12,40,0.53
2021,1,12,45,0.12
2021,1,12,50,0.48
2021,1,12,55,0.46
2021,1,13,0,0.65
2021,1,13,5,0.38
2021,1,13,10,-0.15
2021,1,13,15,-0.40
2021,1,13,20,0.19
2021,1,13,25,1.41
2021,1,13,30,1.75
2021,1,13,35,1.80
2021,1,13,40,1.37
2021,1,13,45,0.68
2021,1,13,50,1.16
2021,1,13,55,1.74
2021,1,14,0,2.08
2021,1,14,5,2.32
2021,1,14,10,2.24
2021,1,14,15,1.89
2021,1,14,20,1.75
2021,1,14,25,2.10
2021,1,14,30,9999.99
2021,1,14,35,9999.99
2021,1,14,40,0.22
2021,1,14,45,0.53
2021,1,14,50,0.51
2021,1,14,55,0.42
2021,1,15,0,0.72
2021,1,15,5,0.57
2021,1,15,10,0.54
2021,1,15,15,1.23
2021,1,15,20,0.57
2021,1,15,25,0.84
2021,1,15,30,1.34
2021,1,15,35,1.84
2021,1,15,40,1.92
2021,1,15,45,1.55
2021,1,15,50,1.49
2021,1,15,55,2.26
2021,1,16,0,2.30
2021,1,16,5,2.28
2021,1,16,10,2.27
2021,1,16,15,1.90
